id,name,type,sale_ok,purchase_ok,maple_syrup,maple_container,categ_id/id,tracking,uom_id/id,uom_po_id/id,product_tmpl_id/id,default_code,attribute_value_ids
maple.srp4saleBDOR0,Maple Syrup BIO DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBDO--,BDOR0,"Organic,Golden,Crochet"
maple.srp4saleBAMR0,Maple Syrup BIO AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBAM--,BAMR0,"Organic,Amber,Crochet"
maple.srp4saleBFOR0,Maple Syrup BIO FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBFO--,BFOR0,"Organic,Dark,Crochet"
maple.srp4saleBTFR0,Maple Syrup BIO TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBTF--,BTFR0,"Organic,Very Dark,Crochet"
maple.srp4saleRDOR0,Maple Syrup REG DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRDO--,RDOR0,"Regular,Golden,Crochet"
maple.srp4saleRAMR0,Maple Syrup REG AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRAM--,RAMR0,"Regular,Amber,Crochet"
maple.srp4saleRFOR0,Maple Syrup REG FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRFO--,RFOR0,"Regular,Dark,Crochet"
maple.srp4saleRTFR0,Maple Syrup REG TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRTF--,RTFR0,"Regular,Very Dark,Crochet"
maple.srp4salePDOR0,Maple Syrup R-B DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePDO--,PDOR0,"Pending,Golden,Crochet"
maple.srp4salePAMR0,Maple Syrup R-B AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePAM--,PAMR0,"Pending,Amber,Crochet"
maple.srp4salePFOR0,Maple Syrup R-B FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePFO--,PFOR0,"Pending,Dark,Crochet"
maple.srp4salePTFR0,Maple Syrup R-B TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePTF--,PTFR0,"Pending,Very Dark,Crochet"
maple.srp4saleBDOR1,Maple Syrup BIO DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBDO--,BDOR1,"Organic,Golden,VR1"
maple.srp4saleBAMR1,Maple Syrup BIO AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBAM--,BAMR1,"Organic,Amber,VR1"
maple.srp4saleBFOR1,Maple Syrup BIO FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBFO--,BFOR1,"Organic,Dark,VR1"
maple.srp4saleBTFR1,Maple Syrup BIO TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBTF--,BTFR1,"Organic,Very Dark,VR1"
maple.srp4saleRDOR1,Maple Syrup REG DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRDO--,RDOR1,"Regular,Golden,VR1"
maple.srp4saleRAMR1,Maple Syrup REG AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRAM--,RAMR1,"Regular,Amber,VR1"
maple.srp4saleRFOR1,Maple Syrup REG FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRFO--,RFOR1,"Regular,Dark,VR1"
maple.srp4saleRTFR1,Maple Syrup REG TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRTF--,RTFR1,"Regular,Very Dark,VR1"
