id,default_code,name,type,weight,sale_ok,purchase_ok,maple_syrup,maple_container,categ_id:id,tracking,uom_id/id,uom_po_id/id,attribute_line_ids/attribute_id/id
srp4saleBDO--,BDO--,Maple Syrup BIO DO  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4saleBAM--,BAM--,Maple Syrup BIO AM  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4saleBFO--,BFO--,Maple Syrup BIO FO  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4saleBTF--,BTF--,Maple Syrup BIO TF  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4saleRDO--,RDO--,Maple Syrup REG DO  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4saleRAM--,RAM--,Maple Syrup REG AM  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4saleRFO--,RFO--,Maple Syrup REG FO  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4saleRTF--,RTF--,Maple Syrup REG TF  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4salePDO--,PDO--,Maple Syrup BI DO  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4salePAM--,PAM--,Maple Syrup BI AM  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4salePFO--,PFO--,Maple Syrup BI FO  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
srp4salePTF--,PTF--,Maple Syrup BI TF  ,product,,1,0,1,0,maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.attribute_type
,,,,,,,,,,,,,maple.attribute_light
,,,,,,,,,,,,,maple.attribute_flaw
container_A33,A33,Other barrel (tar:33),product,33,0,1,0,1,maple.container_category_a,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_A34,A34,Other barrel (tar:34),product,34,0,1,0,1,maple.container_category_a,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G36,G36,Galvanized Steel barrel (tar:36),product,36,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G37,G37,Galvanized Steel barrel (tar:37),product,37,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G39,G39,Galvanized Steel barrel (tar:39),product,39,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G40,G40,Galvanized Steel barrel (tar:40),product,40,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G41,G41,Galvanized Steel barrel (tar:41),product,41,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G42,G42,Galvanized Steel barrel (tar:42),product,42,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G44,G44,Galvanized Steel barrel (tar:44),product,44,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G45,G45,Galvanized Steel barrel (tar:45),product,45,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G46,G46,Galvanized Steel barrel (tar:46),product,46,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G47,G47,Galvanized Steel barrel (tar:47),product,47,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G48,G48,Galvanized Steel barrel (tar:48),product,48,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_G53,G53,Galvanized Steel barrel (tar:53),product,53,0,1,0,1,maple.container_category_g,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_P20,P20,Plastic barrel (tar:20),product,20,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_P23,P23,Plastic barrel (tar:23),product,23,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_P24,P24,Plastic barrel (tar:24),product,24,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_P30,P30,Plastic barrel (tar:30),product,30,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_P32,P32,Plastic barrel (tar:32),product,32,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_P33,P33,Plastic barrel (tar:33),product,33,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
