# COMPTEUR DE PESE;# BARIL;ETAT DU BARIL;POIDS BRUT;TARE;TYPE DE SIROP;PROPRIETAIRE OU ACHETEUR;# SITE DE CLASSEMENT;SORTE DE BARIL
391;30282;O;430;32;R;P;370;P
391;SE5670;O;482;35;R;A;370;P
391;30251;O;458;32;R;P;370;P
391;1052;O;450;33;R;P;370;P
391;19953;O;457;34;R;P;370;P
391;30315;O;459;32;R;P;370;P
391;30330;O;457;32;R;P;370;P
391;15741;O;460;34;R;P;370;P
391;30349;O;459;32;R;P;370;P
391;SE5165;O;483;35;R;A;370;P
391;30310;O;457;32;R;P;370;P
391;30342;O;460;32;R;P;370;P
391;30305;O;460;32;R;P;370;P
391;30329;O;459;32;R;P;370;P
391;30275;O;462;32;R;P;370;P
391;21117;O;450;34;R;P;370;P
391;30317;O;461;32;R;P;370;P
391;30326;O;462;32;R;P;370;P
391;52587;O;462;32;R;P;370;P
391;30263;O;457;32;R;P;370;P
391;30324;O;457;32;R;P;370;P
391;30294;O;460;32;R;P;370;P
391;30279;O;457;32;R;P;370;P
391;30328;O;452;32;R;P;370;P
391;30320;O;461;32;R;P;370;P
391;30295;O;456;32;R;P;370;P
391;30265;O;462;32;R;P;370;P
391;30277;O;461;32;R;P;370;P
391;30316;O;455;32;R;P;370;P
391;SE5309;O;480;35;R;A;370;P
391;1058;O;447;33;R;P;370;P
391;30323;O;456;32;R;P;370;P
391;30267;O;459;32;R;P;370;P
391;30254;O;464;32;R;P;370;P
391;30258;O;457;32;R;P;370;P
391;30273;O;456;32;R;P;370;P
391;26471;O;454;34;R;P;370;P
391;30269;O;459;32;R;P;370;P
391;30341;O;451;32;R;P;370;P
391;30276;O;415;32;R;P;370;P
391;30289;O;463;32;R;P;370;P
391;30306;O;456;32;R;P;370;P
391;30334;O;455;32;R;P;370;P
391;30250;O;454;32;R;P;370;P
393;2045;O;459;33;R;P;370;P
393;2046;O;459;33;R;P;370;P
393;90;O;447;33;R;P;370;P
393;452;O;458;33;R;P;370;P
393;13298;O;451;34;R;P;370;P
393;519;O;454;33;R;P;370;P
393;827;O;452;33;R;P;370;P
393;13206;O;461;34;R;P;370;P
393;15438;O;457;34;R;P;370;P
393;1801;O;458;33;R;P;370;P
393;1700;O;455;33;R;P;370;P
393;25607;O;465;34;R;P;370;P
393;26767;O;449;34;R;P;370;P
393;2189;O;452;33;R;P;370;P
393;411;O;440;33;R;P;370;P
393;26203;O;452;34;R;P;370;P
393;1786;O;457;33;R;P;370;P
393;2087;O;183;33;R;P;370;P
393;2190;O;451;33;R;P;370;P
393;1021;O;450;33;R;P;370;P
393;19678;O;454;34;R;P;370;P
393;546;O;436;33;R;P;370;P
393;3500;O;434;33;R;P;370;P
393;2081;O;445;33;R;P;370;P
392;73305;O;473;35;R;P;370;P
392;B951;O;453;32;R;P;370;P
392;19894;O;462;32;R;P;370;P
392;B688;O;454;32;R;P;370;P
392;12090;O;455;32;R;P;370;P
392;48561;O;455;32;R;P;370;P
392;31746;O;460;32;R;P;370;P
392;73446;O;494;35;R;P;370;P
392;3388;O;463;32;R;P;370;P
392;73501;O;348;35;R;P;370;P
392;49213;O;465;32;R;P;370;P
